序号,单词,音标,词义
1252,rubbish,'rʌbiʃ,n.垃圾；废物
1253,rule,ru:l,"n.规则；规定
v.统治"
1254,run, rʌn,"v.跑；奔跑；经营；管理
n.跑，奔跑
(ran,run)"
1255,rush,rʌʃ,v.冲，奔跑
1256,sad,sæd,adj.（使人）悲伤的
1257,safe,seif,"adj.安全的；平安的
n.保险柜"
1258,safely,'seifli,adv.安全地；平安地
1259,safety,'seifti,n.安全，平安
1260,salad,'sæləd,n.色拉
1261,salary,'sæləri,n.薪金，薪水
1262,sale,seil,n.卖，出售
1263,salt,sɔ:lt,n.盐
1264,same,seim,"adj.同样的；同一的
pron.同样的事"
1265,sandwich,'sænwidʒ,n.三明治
1266,satisfied,'sætisfaid,adj.满足的，满意的
1267,Saturday,'sætədi; -dei,n.星期六
1268,sauce,sɔ:s,n.酱汁；调味汁
1269,save, sev,v.救，挽救；节省
1270,say,sei,"v.说，讲
(said,said)"
1271,saying,'seiiŋ,n.谚语，俗语；格言
1272,school,sku:l,n.学校
1273,science,'saiəns,n.科学；自然科学
1274,scientist,'saiəntist,n.科学家
1275,score,skɔ:,n.得分，分数
1276,screen,skri:n,n.屏幕；荧光屏
1277,sea,si:,n.海；海洋
1278,seafood,'si:fud,n.海鲜
1279,search,sə:tʃ,v.&n.搜寻，搜查
1280,seaside,'si:said,n.海滨
1281,season,'si:zən,n.季；季节
1282,seat,si:t,n.座位
1283,second,'sekənd,"n.第二人；秒
adj.第二位的
adv.第二位；其次"
1284,secondary,'sekəndəri,adj.中等的；第二的
1285,secret,'si:krit,n.秘密
1286,secretary,'sekrətəri,n.秘书
1287,section, ˈsɛkʃən,n.部分；部门；栏目
1288,see,si:,"v.看见，看到；领会；理解；拜访；会见
(saw,seen)"
1289,seem,si:m,v.似乎；好像
1290,seldom,'seldəm,adv.很少，不常
1291,select,si'lekt,v.选择，挑选，选拔
1292,sell,sel,"v.卖；售
(sold,sold)"
1293,send,send,"v.打发；派遣；送；邮寄
(sent,sent)"
1294,senior,'si:njə,adj.年长的，高级的，高年级的
1295,sense, sɛns,n.感觉；意识；感官
1296,sentence,'sentəns,n.句子
1297,September,sep'tembə,n.九月
1298,serous,"'siərəs, 'si:r-",adj.严肃的；严重的；认真的
1299,serously, ˈsɪriəsli,adv.严肃地；严重地；认真地
1300,serve,sə:v,v.招待（顾客等），为……服务
1301,service,'sə:vis,n.服务；公用事业
1302,set,set,"v.释放，安置；树立（榜样）；创造（纪录）
(set,set)"
1303,settle,'setl,v.安家，定居；解决
1304,several,'sevərəl,adj.几个，数个
1305,sex,seks,n.性别
1306,shake, ʃek,"v.握（手），摇（头）；使震动
(shook,shaken)"
1307,shall,"ʃæl, 弱ʃəl, ʃl, ʃə, ʃ",aux.v.(should)（表示将来）将要，会；（用来征求意见）……好吗
1308,shame,ʃeim,n.遗憾的事；羞愧
1309,shape,ʃeip,n.形状，外形，样子；
1310,share,ʃεə,v.分享，共同使用
1311,sheep,ʃiːp,n.（绵）羊(复sheep)
1312,shelf, ʃɛlf,n.架子；搁板(复shelves)
1313,shine, ʃaɪn,"v.发光；照耀；使发光
(shone,shone)"
1314,ship,ʃip,n.船；轮船
1315,shirt,ʃə:t,n.男衬衫
1316,shoe,ʃu:,n.鞋
1317,shop,ʃɔp,"n.店铺
v.购物"
1318,short,ʃɔ:t,adj.短的；矮的
1319,should,"ʃud, 弱 ʃəd, ʃd",aux.v.应当，应该，会(shall的过去时态)
1320,shout,ʃaut,v.&n.喊；高声呼喊
1321,show,ʃəu,"v.给……看，出示；显示；告知；表明
n.展示；演出；节目；展览会
(showed,shown或showed,showed)"
1322,shower,'ʃauə,n.阵雨；淋浴
1323,shut,ʃʌt,"v.关上，封闭
(shut,shut)"
1324,sick, sɪk,adj.有病的；患病的；（想）呕吐的；恶心的
1325,side,said,n.边，旁边；面，侧面
1326,sight,sait,n.风景；视力
1327,sightseeing,'saitsi:iŋ,n.游览；观光
1328,sign, saɪn,"n.符号，标记
v.签名，署名"
1329,silent,'sailənt,adj.静的，无声的
1330,silly, ˈsɪli,adj.傻的，愚蠢的
1331,simple,'simpl,adj.简单的，简易的
1332,similar,'similə,adj.相似的，像
1333,since,sins,"prep.从……以来；自从
conj.从……以来；由于；既然"
1334,sing,sɪŋ,v.唱；演唱
1335,single,'siŋɡl,n.单一的；单个的；单身的
1336,sir, sɚ,n.先生；阁下
1337,sister, ˈsɪstɚ,n.姐；妹
1338,sit,sit,"v.坐(sat,sat)"
1339,situation,",sitju'eiʃən, -tʃu-",n.形势，情况；场面
1340,size,saiz,n.尺寸；大小
1341,skate,skeit,v.溜冰
1342,skill,skil,n.技能；技巧
1343,skin,skin,n.皮肤
1344,skirt,skə:t,n.女裙
1345,sky,skai,n.天空
1346,sleep,sli:p,"v.睡觉
n.睡眠
(slept,slept)"
1347,slow,sləu,adj.慢慢的；缓慢的
1348,slowly,'sləuli,adv.慢慢地；缓慢地
1349,small,smɔ:l,adj.小的，少的
1350,smart,smɑːt,adj.灵巧的，聪明的
1351,smell,smel,"v.嗅；闻到
n.气味
(smelt,smelt)"
1352,smile,smail,v.&n.微笑
1353,smoke,sməuk,"n.烟
v.冒烟；吸烟"
1354,snack,snæk,n.小吃
1355,snow,snəu,"n.雪
v.下雪"
1356,snowy,'snəui,adj.下雪的；多雪的
1357,so,"'səu, 弱 sə","adv.如此；这么；也；同样
conj.因此；所以；为的是，以便"
1358,soft,"sɔft, sɔ:ft",adj.软的，柔和的
1359,softly,'sɔftli,adv.温柔地
1360,soldier,'səuldʒə,n.士兵，军人
1361,solution,sə'lju:ʃən,n.解决方法；解答
1362,solve,"sɔlv, sɔ:lv",v.解决，解答
1363,some, sʌm,"adj.一些；若干；几个；某个
pron.一些；若干"
1364,somebody,"'sʌm,bɔdi, -bʌ-, -bə-",pron.某人；有人（=someone）
1365,something,'sʌmθiŋ,pron.某事；某物
1366,sometimes,'sʌmtaimz,adv.有时
1367,son,sʌn,n.儿子
1368,song,"sɔŋ, sɔ:ŋ",n.歌曲，歌唱
1369,soon,su:n,adv.不久，很快，一会儿
1370,sorry,"'sɔ:ri, 'sɔ-",adj.对不起的；抱歉的；难过的
1371,sound,saund,"n.声音
v.听起来；发出声音"
1372,soup,su:p,n.汤
1373,south,"sauθ, sauð","n.南；南方；南部
adj.南（方）的；向南的"
1374,space,speis,n.空间，太空
1375,spaceship,'speisʃip,n.宇宙飞船
1376,spare,spεə,adj.空闲的，多余的，剩余的
1377,speak,spi:k,"v.说；讲；谈话；发言
(spoke,spoken)"
1378,special,'speʃəl,adj.特别的，专门的
1379,speech,spi:tʃ,n.演讲，说话
1380,speed,spi:d,"n.速度
v.（使）加速"
1381,spend,spend,v.度过；花费（钱、时间等）
1382,spoon,spu:n,n.调羹
1383,sport,spɔ:t,n.体育运动，锻炼
1384,spread,spred,"v.延伸；展开
(spread,spread)"
1385,spring,spriŋ,n.春天；春季
1386,square,skwεə,"n.广场
adj.平方的；方形的"
1387,stamp,stæmp,n.邮票
1388,stand,stænd,"v.站；站立
(stood,stood)"
1389,star,stɑ:,n.星，恒星
1390,start,stɑ:t,"v.开始，着手；出发
n.开端，开始"
1391,state,steit,n.状态；情形；国家，（美国的）州
1392,station, ˈsteʃən,n.车站，电台
1393,stay,stei,n.&v.停留，逗留，呆
1394,steak,steik,n.牛排
1395,steal, stil,"v.偷，窃取
(stole,stolen)"
1396,steam,sti:m,n.汽，水蒸气
1397,step,step,"n.脚步，台阶
v.走；跨步"
1398,stick, stɪk,"n.木棒（棍），枝条
v.黏住，钉住；坚持"
1399,still,stil,"adv.仍然，还
adj.不动的，平静的"
1400,stocking,'stɔkiŋ,n.长筒袜
1401,stomachache,'stʌməkeik,n.胃痛
1402,stone,stəun,n.石头，石料
1403,stop,stɔp,"v.停，停止，阻止
n.停；（停车）站"
1404,store,stɔ:,"n.商店
v.储藏，存储"
1405,storm,stɔ:m,n.风暴，暴（风）雨（雪）
1406,story,'stɔ:ri,n.风暴，暴（风）雨（雪）
1407,straight, streit,"adj.一直的，直的
adv.一直地，直地"
1408,strange,streindʒ,adj.奇怪的，奇特的，陌生的
1409,street,stri:t,n.街；街道
1410,strict,strikt,adj.严格的；严密的
1411,strike,straik,"v.敲，打击，侵袭；（钟）鸣
(struck,struck/stricken)"
1412,strong,"strɔŋ, strɔ:ŋ",adj.强（壮）的；坚固的；强烈的；坚强的
1413,student,"'stju:dənt, 'stu:-",n.学生
1414,study,'stʌdi,"n.学习；研究；书房
v.学习，研究"
1415,stupid,"'stju:pid, 'stu:-",adj.愚蠢的，笨的
1416,subject,"'sʌbdʒikt, -dʒe-, səb'dʒekt",n.题目；主题；学科；主语；主体
1417,succeed,sək'si:d,v.获得成功，达到目的
1418,success,sək'ses,n.成功
1419,successful,sək'sesful,adj.成功的
1420,such,"sʌtʃ, sətʃ","adj.这样的；那样的
pron.（泛指）人，事物"
1421,suddenly,'sʌdnli,adv.突然地
1422,suffer,'sʌfə,v.受苦，遭受
1423,sugar,'ʃuɡə,n.糖
1424,suggest, səɡ'dʒest,v.建议，提议
1425,suggestion,səɡ'dʒestʃən,n.建议，提议
1426,summer,'sʌmə,n.夏天；夏季
1427,sun,sʌn,n.太阳；阳光
1428,Sunday,'sʌndei,n.星期日
1429,sunny,'sʌni,adj.阳光充足的，晴朗的
1430,supermarket,"sju:pə,mɑ:kit",n.超级市场
1431,supper, 'sju:pə,n.晚餐，晚饭
1432,support,sə'pɔ:t,v.&n.支持，赞助
1433,suppose,sə'pəuz,v.猜想，假定，料想
1434,sure,"ʃuə, ʃɔ:",adj.肯定的，确信的，有把握的
1435,surface,'sə:fis,n.表面
1436,surprise,sə'praiz,"n.惊奇，诧异
v.使惊奇，使诧异"
1437,surprised,sə'praizd,adj.感到惊奇的
1438,survey,"sə:'vei, 'sə:vei, sə-",v.&n.调查
1439,sweep,swi:p,"v.扫除，扫
(swept,swept)"
1440,sweet,[swi:t],"adj.甜的；可爱的
n.甜食；糖果"
1441,swim,swim,"v.&n.游泳
(swam,swum)"
1442,system,'sistəm,n.体系；系统
1443,table, 'teibl,n.桌子；表格
1444,take, teik,"v.1．拿；2．拿走3．做 4．吃，服用5．乘坐（车、船）6．花费（时间）7．拍照
(took,taken)"
1445,talk,tɔ:k,n.&v.谈话；讲话；演讲；交谈
1446,tall,tɔ:l,n.高的
1447,tap,tæp,n.（自来水、煤气灯的）龙头
1448,tape,teip,n.磁带；录音带
1449,task,"tɑ:sk, tæsk",n.任务，工作
1450,taste,teist,"n.味道
v.品尝，尝味"
1451,taxi,'tæksi,n.出租汽车
1452,tea,ti:,n.茶；茶叶
1453,teach,ti:tʃ,"v.教书，教
(taught,taught)"
1454,teacher,'ti:tʃə,n.教师
1455,team,ti:m,n.队，组
1456,technology,tek'nɔlədʒi,n.技术
1457,teenager,"'ti:n,eidʒə",n.（13一19岁的）青少年，十几岁的少年
1458,telephone,'telifəun,"n.电话，电话机
v.打电话(=phone)"
1459,television,"'teli,viʒən, ,teli'v-",n.电视(TV)
1460,tell,tel,"v.告诉；讲述；吩咐
(told,told)"
1461,temperature, 'temprətʃə,n.温度
1462,temple,templ,n.庙宇，寺院
1463,tennis,tenɪs,n.网球
1464,term,tɜːm,n.学期
1465,terrible,'terəbl,adj.可怕的，糟糕的
1466,test,test,v.&n.测试，考察，实验
1467,text,tekst,n.文本，课文
1468,than,"ðæn, 弱ðən, ðn",conj.比
1469,thank,θæŋk,"v.感谢，致谢，道谢
n.（复）感谢，谢意"
1470,thankful,'θæŋkful,adj.感谢的；感激的
1471,that,"ðæt, 弱ðət, ðt","adj.&pron.那；那个
conj.引导宾语从句"
1472,theater,"'θiətə, 'θi:ə-",n.剧院，戏院
1473,then,ðen,adv.当时；那时；然后，后来；那么（通常用于句首或句尾）
1474,there,"ðεə, 弱ðə, ðr",adv.在那里；往那里；（作引导词）表“存在”
1475,these,ði:z,adj.&pron.这些
1476,thick,θik,adj.厚的；浓的
1477,thin,θin,adj.瘦的；薄的
1478,thing,θiŋ,n．东西；事情
1479,think,θiŋk,"v.想；思考；认为；考虑
（thought，thought） "
1480,thirsty ,'θə:sti,adj．渴
1481,this,"ðis, 弱ðəs",adj．& pron.这；这个
1482,those ,ðəuz,adj．& pron.那些
1483,thought                 ,θɔ:t,n.    思想，想法
1484,through ,θru:,prep．穿（通）过；从始至终
1485,throughout ,θru:'aut,prep．遍及；贯穿
1486,throw,θrəu,"v.投、掷、扔
（threw，thrown） "
1487,Thursday ,'θə:zdi; -dei,n．星期四
1488,ticket ,'tikit,n．票；券
1489,tidy ,'taidi,adj．整洁的，干净的
1490,tie ,tai,"n．领带，结
（用绳、线）系、栓"
1491,tiger ,'taiɡə,n．老虎
1492,till ,til,prep．& conj.直到；直到……为止
1493,time ,taim,n．时间；时期；钟点；次；回
1494,tip,tip,n.尖端；提示；小费
1495,tired ,'taiəd,adj．疲劳的；累的
1496,title ,'taitl,n．标题，题目
1497,to ,"强 tu:, 弱 tu, 辅音前弱tə, t",prep．（表示接受动作的人或物）给……；
1498,today ,tə'dei,adv．& n.今天；现在，当前
1499,together ,tə'ɡeðə,adv．一起，共同
1500,tomorrow ,"tə'mɔrəu, -'mɔ:-",adv．& n.明天
1501,tonight ,tə'nait,adv．& n.今晚，今夜
1502,too ,tu:,adv．也，还；又；太，过分；很，非常
1503,tool ,tu:l,n．工具
1504,tooth,tu:θ,n．牙齿（复teeth） 
1505,toothache ,'tu:θeik,n．牙痛
1506,top ,tɔp,"n．顶部，（物体的）上面
adj．最上面的；居首位的"
1507,topic,'tɔpik,n.题目，话题
1508,touch ,tʌtʃ,v．触摸；接触
1509,tour ,tuə,n．参观；观光；旅行
1510,tourist ,'tuərist,n．游客，旅客，旅行者
1511,toward(s),tə'wɔːd,prep．向，朝，对于
1512,tower ,'tauə,n．塔
1513,town ,taun,n．城镇；城
1514,toy ,tɔi,n．玩具
1515,traditional ,trə'diʃənəl,adj．传统的
1516,traffic ,'træfik,n．交通
1517,train ,trein,"n．火车
v. 培训，训练"
1518,translate,træns'leɪt,v．翻译
1519,transport           ,"træns'pɔ:t; trænz-træns'pɔ:t, trænz-, trɑ:n-, 'trænspɔ:t, 'trænz-, 'trɑ:n-",v．  运输，运送
1520,travel,'trævəl,n．& v.旅行
1521,tree ,tri:,n．树
1522,trick ,trik,n．恶作剧；诡计，花招
1523,trip ,trip,n．旅行；旅程
1524,trouble ,'trʌbl,"n．问题；烦恼；麻烦；困难
v.      使苦恼，使麻烦"
1525,trousers ,'trauzəz,n．裤子，长裤
1526,TRUE,tru:,adj．真的，真实的
1527,truth ,tru:θ,n．真理，真相，实际情况
1528,try,trai,"v．试；试图；努力
n.试；努力"
1529,Tuesday ,'tju:zdi; -dei,n．星期二
1530,turkey ,tə:ki,n．火鸡
1531,turn,tɜːn,"v．旋转；翻转；转弯；转变；变得
n．   (轮流的）顺序"
1532,twice ,twais,adv．两次；两倍
1533,twin ,twin,n．双胞胎之一
1534,type ,taip,"n．类型,打字"
1535,umbrella ,ʌm'brelə,n．伞
1536,uncle ,'ʌŋkl,n．叔；伯；舅；姑夫；姨父
1537,under ,'ʌndə,adv．& prep．在……下面，向……下面
1538,underground,'ʌndəɡraund,"adj．地下的
n.地铁"
1539,underline                   ,",ʌndə'lain, 'ʌndəlain",v.   在……下划线；强调，使突出
1540,understand,",ʌndə'stænd","v.明白；懂得；理解（understood,understood）"
1541,unhealthy ,",ʌn'helθi",adj．不健康的
1542,uniform ,'ju:nifɔ:m,n．制服
1543,unit ,'ju:nit,n．单元，单位；部件
1544,united ,ju:'naitid,adj．联合的，统一的
1545,university ,",ju:ni'və:səti",n．（综合性）大学
1546,unless,ən'les,conj．如果不，除非
1547,until ,",ʌn'til",prep．& conj.直到……为止
1548,unusual ,",ʌn'ju:ʒuəl",adj．不寻常的
1549,up ,ʌp,adv．& prep.向上；在上方；起来
1550,upset ,ʌp'set,adj．心烦的，难过的
1551,upstairs ,'ʌp'stεəz,adv．在楼上；到楼上
1552,use ,ju:z,"v．& n.利用；使用；应用
用途；用法"
1553,useful ,'ju:sful,adj．有用的；有益的
1554,usual,'ju:ʒuəl,adj．通常的，平常的
1555,usually ,'ju:ʒuəli,adv．通常；经常
1556,variety,英 [vəˈraɪəti] 美 [vəˈraɪɪti,n.种类；种种
1557,various,'vεəriəs,adj.各种各样的，不同的
1558,vegetable ,'vedʒitəbl,n．蔬菜
1559,very ,'veri,adv．很；非常
1560,victory ,'viktəri,n．胜利
1561,video ,'vidiəu,n．录像，视频
1562,view ,vju:,n．看法，见解；风景，景色；视野
1563,village ,'vilidʒ,n．村庄，乡村
1564,violin ,",vaiə'lin",n．小提琴
1565,visit,'vizit,n. & v． 参观，访问，拜访
1566,visitor ,'vizitə,n．参观者，访问者
1567,voice ,vɔis,n．嗓音
1568,volleyball ,'vɔlibɔ:l,n．排球
1569,volunteer,",vɔlən'tiə","n.志愿者
v.自愿(做)，自愿提供"
1570,wait,weit,v．等；等候
1571,waiter ,weitə,n．侍者；服务员
1572,waitress ,'weitris,n．女侍者；女服务员
1573,wake,weik,"v．醒来，唤醒
（woke,woken或waked,waked） "
1574,walk,wɔ:k,v．& n.步行；散步
1575,wall ,wɔ:l,n．墙
1576,want ,"wɔnt, wɔ:nt",v．要，想要；需要，必要
1577,war,wɔ:,n．战争
1578,warm ,wɔ:m,adj．暖和的；热情的
1579,warn,wɔ:n,v．警告；告诫
1580,wash,"wɔʃ, wɔ:ʃ",v．洗涤；洗
1581,waste,weist,"v．浪费
n.浪费，废物"
1582,watch,"wɔtʃ, wɔ:tʃ","v．观看，注视；当心
n.手表，表"
1583,water , 'wɔːtə,"n．水,浇水"
1584,wave,weiv,"v．挥手，招手；挥动
n.波，波浪"
1585,way ,wei,n．路，路线，路途；方法，手段
1586,weak ,wi:k,adj．弱的，差的，淡的
1587,wealth             ,welθ,n. 财产，财富
1588,wear,weə,"v.穿；戴
（wore，worn） "
1589,weather ,'weðə,n．天气
1590,Wednesday ,wenzdi; -dei,n．星期三
1591,week ,wi:k,n．星期
1592,weekday ,wi:kdei,n．工作日
1593,weekend ,",wi:k'end, 'wi:kend",n．周末
1594,weigh,wei,v．称……的重量；重
1595,weight ,weit,n．重量
1596,welcome ,welkəm,"n．欢迎
adj.受欢迎的
v.欢迎
int．欢迎"
1597,well,wel,"adj.健康的
adv．好地，令人满意地；完全地
n．井
int．（表示同意，惊讶等）好，好吧；那么
（better，best） "
1598,west ,west,"n．西部，西方
adj. 西方的；向西的"
1599,western ,westən,adj．西方的
1600,wet ,wet,adj．湿的；潮的；多雨的
1601,what ,"hwɔt, hwʌt, 弱hwət","pron．1.（表示疑问）什么；2.（表示建议）怎么样
adv．1.（表示感叹）多么；2.（表示疑问）什么
conj. 引导宾语从句"
1602,when ,wɛn,conj．& adv．当……的时候；什么时候
1603,where ,hwεə,adv．在哪里
1604,whether,'weðə,conj．是否
1605,which ,hwitʃ,adj．& pron.那（哪）一个（些）
1606,while ,hwail,"conj．在……的时候；正当……时
n.一会儿"
1607,white ,hwait,"n．白色
adj.白色的"
1608,who ,hu:,pron．谁
1609,whole ,həul,adj．整个的
1610,whom ,"hu:m, 弱 hum",pron．谁（who的宾格）
1611,whose ,hu:z,pron．谁的
1612,why ,hwai,adv．为什么
1613,wide ,waid,adj．宽的；广泛的
1614,widely ,'waidli,adv．宽阔地；广泛地
1615,widen,'waidən,v．拓宽
1616,wife,waif,n.妻子（复wives） 
1617,wild ,waild,adj．野生的，荒凉的
1618,will ,wɪl,"avx．v．1．（表示将来）将；会
2．（表示同意、允诺）愿意；
3．（表示提问）是否愿意；……好吗？
n.     意志"
1619,win,win,"v.获胜；赢得
（won，won） "
1620,wind ,[wɪnd],n．风
1621,window ,'windəu,n．窗户，视窗
1622,windy ,'windi,adj．有风的；起风的
1623,wine ,wain,n．酒；葡萄酒
1624,wing ,wɪŋ,n．机翼；翅膀
1625,winner ,'winə,n．获胜者
1626,winter ,'wintə,n．冬天；冬季
1627,wisdom ,'wizdəm,n．智慧
1628,wise ,waiz,adj．聪明的，明智的
1629,wish ,wiʃ,"n．愿望，祝愿
v.    希望，想要，祝愿"
1630,with ,"wið, wiθ","prep．1．（表示伴随）与……一道；跟……一起
2．（表示具有）带有；具有
3．（表示手段或方法）以……；用……
4. 和；有  5. 关于"
1631,within ,"wi'ðin, wi'θin",prep．在……范围之内
1632,without ,"wi'ðaut, -'θaut",prep．没有
1633,wolf,wulf,n．狼（复wolves）
1634,woman,'wumən,n.妇女，女人（复women）
1635,wonder,'wʌndə,"v．对……疑惑；想知道
n.奇迹；奇观"
1636,wonderful ,ˈwʌndərfl,adj．美妙的，精彩的；太好了
1637,wood ,wud,n．木头，木材；（复）树林
1638,wooden ,'wudən,adj．木质的
1639,word ,wə:d,n．词，单词；话
1640,work,wə:k,"v．工作；（机器等）运转，活动
n.工作；劳动"
1641,worker ,wə:kə,n．工作者；工人
1642,world ,wɜːld,n．世界
1643,worry,"'wʌri, 'wə:ri","v．担心；烦恼
n.烦恼，担忧"
1644,would,"wud, 弱wəd, əd, d",aux．v．愿意（will的过去式）
1645,wound ,waund,n．创伤，伤口
1646,wounded ,'wu:ndid,adj．受伤的
1647,write ,rait,"v.写；写作；写信（wrote,written）"
1648,writer ,'raitə,n．作家
1649,wrong , rɔŋ,adj．错误的；不正常的；有病的
1650,year , jɪə,n．年
1651,yellow , 'jeləu,"adj.黄色的
n．黄色"
1652,yes ,jes,adv．是；好；同意
1653,yesterday,"'jestədi,-dei",n. & adv．昨天
1654,yet ,jet,adv．尚，还，仍然
1655,young ,jʌŋ,adj．年轻的
1656,zero,"ziərəu, 'zi:rəu",n．＆ nurn．零；零度；零点
1657,zoo,zu:,n．动物园
